CHR	IN	PC1	PC2	PC3	PC4	PC5
10	3588097	0.33547	0.25896	0.19583	0.04723	0.03812
10	20135938	0.46801	0.2782	0.1259	0.04724	0.03846
10	4276229	0.28058	0.21989	0.11835	0.09218	0.08198
10	19726337	0.3656	0.28396	0.1214	0.06283	0.03133
10	18038793	0.57548	0.20487	0.12188	0.02889	0.01292
10	13926410	0.51661	0.27701	0.06068	0.04632	0.0219
10	18694155	0.52834	0.19248	0.08635	0.05257	0.03026
10	22396940	0.74031	0.09713	0.02792	0.01946	0.01746
10	19832834	0.83975	0.05549	0.02703	0.01868	0.01524
10	4046871	0.32703	0.15753	0.12845	0.09089	0.05715
10	7618584	0.34304	0.25457	0.12298	0.11029	0.06191
10	13418523	0.70821	0.10345	0.07262	0.03703	0.02009
10	2375709	0.36494	0.18577	0.11565	0.09702	0.07399
10	16236574	0.30885	0.19375	0.12684	0.10582	0.07505
10	6012961	0.68728	0.16913	0.04091	0.02986	0.01841
10	13860898	0.74466	0.15126	0.05425	0.01138	0.00664
10	22419019	0.58126	0.32919	0.01255	0.00833	0.00515
10	17984007	0.56017	0.15945	0.13794	0.06881	0.01865
10	10174505	0.45548	0.20947	0.08999	0.07103	0.0586
10	5128237	0.50106	0.49894	0.0	0.0	0.0
10	475183	0.83829	0.04256	0.03039	0.01677	0.01619
10	8486960	0.27711	0.19724	0.16646	0.13841	0.0971
10	6357041	0.26976	0.18786	0.12566	0.08716	0.07991
10	16433204	0.79196	0.08101	0.03941	0.01921	0.01535
10	4440117	0.32713	0.14097	0.08628	0.08268	0.07739
10	21671709	0.86605	0.0552	0.01641	0.013	0.01181
10	19906616	0.60139	0.25274	0.04899	0.02784	0.01722
10	10944569	0.42376	0.196	0.14496	0.06435	0.05576
10	950330	0.40214	0.21198	0.06495	0.0494	0.04006
10	7569468	0.25298	0.24033	0.18838	0.09665	0.06039
10	2408509	0.65304	0.17258	0.0463	0.01904	0.01317
10	21446718	0.56262	0.38164	0.01951	0.01599	0.0046
10	19550325	0.60221	0.26669	0.02736	0.01914	0.0149
10	4571200	0.30988	0.21228	0.13234	0.10027	0.05216
10	9994305	0.40265	0.19049	0.09008	0.06782	0.05622
10	2801731	0.50984	0.22718	0.09918	0.06527	0.02634
10	180293	0.31189	0.29361	0.16504	0.14501	0.02814
10	18153542	0.47049	0.33657	0.1035	0.05013	0.00836
10	1228871	0.24112	0.13989	0.12593	0.11571	0.08291
10	19518137	0.47214	0.33039	0.1183	0.04428	0.01165
10	18104396	0.49139	0.22021	0.15418	0.05709	0.02601
10	15843406	0.57714	0.1948	0.08823	0.06925	0.02445
10	18743375	0.54312	0.19834	0.14416	0.03226	0.02285
10	14090324	0.40491	0.31679	0.09877	0.04229	0.03016
10	19595349	0.5528	0.35723	0.02086	0.01609	0.01193
10	1867862	0.39461	0.20156	0.12929	0.06556	0.06134
10	9863255	0.27155	0.23221	0.12607	0.11459	0.06887
10	770136	0.54325	0.35109	0.03357	0.03246	0.01521
10	14008412	0.51925	0.17571	0.12354	0.05802	0.02887
10	21545053	0.70354	0.25809	0.00457	0.00345	0.00299
10	18776158	0.52292	0.12598	0.08714	0.04163	0.03904
10	23093771	0.49958	0.1722	0.14643	0.08968	0.02573
10	21986674	0.7876	0.06478	0.05229	0.01853	0.01623
10	8093797	0.42932	0.23047	0.13639	0.06996	0.02828
10	22026646	0.95428	0.0057	0.00484	0.0041	0.00364
10	11157607	0.6807	0.10485	0.05776	0.03781	0.02779
10	8290408	0.32529	0.149	0.13796	0.09849	0.08989
10	11894889	0.49511	0.16972	0.11542	0.07446	0.06579
10	6912858	0.28375	0.19952	0.14551	0.06841	0.05057
10	1048686	0.44716	0.20205	0.16073	0.04886	0.04293
10	16785403	0.37504	0.22172	0.20453	0.06978	0.04925
10	20349040	0.53606	0.29255	0.04647	0.03644	0.02305
10	12173425	0.75445	0.11246	0.06553	0.00989	0.00917
10	11665523	0.30754	0.18411	0.13809	0.08429	0.07215
10	8700020	0.40889	0.15712	0.11423	0.09678	0.09626
10	655477	0.69188	0.11061	0.10342	0.03548	0.01397
10	7241846	0.43876	0.12924	0.10421	0.07552	0.06513
10	17006898	0.51526	0.22684	0.12529	0.05967	0.03682
10	17042112	0.53406	0.28398	0.09004	0.04732	0.00902
10	21332098	0.78994	0.09772	0.03505	0.0218	0.01674
10	13271171	0.43388	0.3346	0.10634	0.05694	0.01689
10	21585942	0.79794	0.13471	0.01938	0.01546	0.00353
10	13336710	0.60981	0.14792	0.06203	0.04784	0.02167
10	16061439	0.25313	0.21404	0.15207	0.14052	0.07402
10	9306249	0.33175	0.20361	0.12412	0.09853	0.06807
10	11239562	0.37655	0.29245	0.13457	0.07984	0.02684
10	688269	0.37849	0.17119	0.14065	0.10628	0.06529
10	7454864	0.46402	0.17272	0.10321	0.08782	0.05286
10	14532754	0.54886	0.29906	0.07409	0.04577	0.0081
10	20002158	0.42386	0.22775	0.13545	0.11201	0.01824
10	16023702	0.77277	0.08935	0.04651	0.04073	0.01828
10	8323225	0.25112	0.2271	0.14845	0.08926	0.07543
10	17105050	0.38872	0.1916	0.14204	0.05238	0.05115
10	16777371	0.54373	0.19578	0.14322	0.04695	0.02745
10	1179804	0.31142	0.20391	0.16787	0.07448	0.05924
10	1474718	0.32306	0.23069	0.11528	0.06889	0.05863
10	17724322	0.55267	0.13465	0.11516	0.1074	0.02385
10	15990811	0.6209	0.12844	0.08982	0.05715	0.03539
10	7766180	0.34375	0.23831	0.17974	0.0884	0.03387
10	18055333	0.62561	0.21844	0.07674	0.02418	0.01878
10	5406889	1.0	0.0	0.0	0.0	0.0
10	18235566	0.44869	0.26324	0.14693	0.05409	0.02393
10	17514707	0.33573	0.2248	0.14051	0.10507	0.05611
10	18186416	0.35499	0.21783	0.14528	0.11801	0.04811
10	6537396	0.36862	0.18074	0.10337	0.06079	0.05572
10	17604638	0.60207	0.18145	0.08414	0.02987	0.02566
10	16919241	0.4768	0.2737	0.11782	0.0283	0.02058
10	17847936	0.5455	0.22738	0.13976	0.02747	0.00845
10	17842366	0.33877	0.31966	0.15035	0.09938	0.01305
10	5652671	0.27142	0.18216	0.13015	0.11805	0.0581
10	5587136	0.2903	0.19479	0.13229	0.09349	0.08662
10	20199197	0.4163	0.20668	0.18122	0.10061	0.02567
10	18841795	0.46568	0.27845	0.08858	0.07568	0.01804
10	22675652	0.43968	0.24187	0.17623	0.09138	0.0227
10	6864929	0.30837	0.17401	0.11447	0.07153	0.06077
10	16138441	0.52321	0.2347	0.05311	0.04557	0.04104
10	11583690	0.57828	0.16964	0.09467	0.04758	0.04388
10	3096780	0.46428	0.39299	0.0543	0.02078	0.00844
10	4227277	0.42448	0.22372	0.10091	0.03644	0.02804
10	22122669	0.96079	0.01021	0.00501	0.00413	0.00287
10	8896722	0.29002	0.24941	0.19193	0.08973	0.02761
10	18300986	0.60708	0.2253	0.07294	0.06222	0.00508
10	22511828	0.74808	0.13489	0.03227	0.01765	0.01036
10	11124949	0.58568	0.15464	0.10457	0.04405	0.02472
10	19422754	0.64431	0.23257	0.05708	0.01061	0.00889
10	16515292	0.27475	0.20919	0.19815	0.14855	0.03968
10	22387814	0.82875	0.06868	0.01956	0.01879	0.01231
10	14254303	0.72994	0.12075	0.05351	0.0322	0.03008
10	18071778	0.59804	0.15695	0.13669	0.02158	0.02099
10	14844131	0.50738	0.13959	0.08345	0.05249	0.0437
10	4636900	0.34622	0.19147	0.13168	0.08982	0.07432
10	2114925	0.32091	0.14836	0.12669	0.08082	0.07375
10	19040977	0.37639	0.27413	0.0963	0.04738	0.03752
10	4915432	0.40542	0.18747	0.10602	0.05109	0.04027
10	18366699	0.81322	0.10385	0.02053	0.01554	0.01059
10	13992172	0.30095	0.24867	0.23859	0.14221	0.01444
10	19742959	0.37698	0.24391	0.12267	0.07749	0.0502
10	5636336	0.34995	0.24241	0.14459	0.09308	0.06326
10	13385973	0.51975	0.16477	0.13903	0.0839	0.0295
10	16141252	0.62986	0.17055	0.06453	0.0403	0.03863
10	14663929	0.4921	0.23311	0.07527	0.04362	0.03082
10	20168862	0.43423	0.20669	0.15363	0.11025	0.03463
10	19574200	0.45617	0.32083	0.09732	0.02889	0.01294
10	3670271	0.2701	0.25278	0.14597	0.11757	0.05584
10	12878081	0.81237	0.1317	0.01578	0.00606	0.00567
10	14975234	0.80688	0.06501	0.02204	0.01537	0.01485
10	7684356	0.41201	0.14616	0.10911	0.08155	0.07262
10	16793861	0.41684	0.24211	0.14533	0.06949	0.05082
10	17449222	0.50103	0.22241	0.1558	0.02471	0.02095
10	4079881	0.46582	0.21095	0.11338	0.05089	0.04909
10	17451735	0.59283	0.15572	0.12301	0.03469	0.02122
10	19174786	0.52175	0.27923	0.10934	0.02989	0.01346
10	17517011	0.33878	0.25951	0.17717	0.06028	0.03861
10	10699023	0.62577	0.10238	0.08501	0.07057	0.02687
10	6570262	0.28788	0.18718	0.11661	0.09461	0.08352
10	1736985	0.29959	0.21074	0.14563	0.09531	0.07649
10	21905691	0.89691	0.0511	0.01315	0.00566	0.00255
10	6914333	0.3554	0.22425	0.16576	0.06851	0.03906
10	11780383	0.30934	0.22607	0.17512	0.15431	0.05451
10	9339168	0.2343	0.15263	0.1101	0.09155	0.08304
10	4931874	0.55521	0.16331	0.063	0.04571	0.03813
