CHR	IN	PC1	PC2	PC3	PC4	PC5
7	3604481	0.76743	0.18385	0.01499	0.00515	0.00328
7	2867203	0.25283	0.18694	0.08592	0.07726	0.06025
7	25283666	0.422	0.18557	0.14731	0.10192	0.06965
7	5226501	0.78725	0.1551	0.01529	0.00728	0.00638
7	6799361	0.58473	0.27522	0.05017	0.02205	0.01527
7	21299208	0.40146	0.2456	0.13541	0.03878	0.02696
7	26796518	0.88236	0.04257	0.02277	0.00744	0.00632
7	2981898	0.47557	0.21074	0.06137	0.04229	0.03082
7	4388183	0.84415	0.07177	0.04498	0.00713	0.00713
7	20529168	0.38613	0.30109	0.14665	0.02875	0.02363
7	18661393	0.41814	0.26934	0.13755	0.05974	0.0297
7	27077001	0.52132	0.25535	0.11207	0.05483	0.02725
7	28852227	0.75561	0.18048	0.0083	0.008	0.00568
7	6012949	0.94506	0.01722	0.01193	0.00987	0.0021
7	21577750	0.50644	0.18585	0.10246	0.07427	0.0233
7	8208409	0.16953	0.15282	0.11813	0.10462	0.08323
7	16941082	0.36182	0.32344	0.13855	0.03794	0.02841
7	6029339	0.68014	0.18761	0.01818	0.01737	0.01528
7	3719196	0.78078	0.1106	0.05862	0.00566	0.00428
7	23216157	0.5047	0.11277	0.09089	0.0689	0.04545
7	25346079	0.34666	0.24294	0.16486	0.09755	0.04143
7	25307179	0.30521	0.2196	0.16585	0.13568	0.06802
7	2605091	0.64957	0.24513	0.01973	0.01675	0.00556
7	9371684	0.61985	0.2231	0.02782	0.02566	0.01454
7	9404454	0.5396	0.26539	0.04477	0.03358	0.02516
7	14884871	0.38831	0.19988	0.09715	0.09379	0.06483
7	28709737	0.57224	0.18836	0.04477	0.0347	0.02913
7	5750833	0.68003	0.11747	0.09503	0.02779	0.02121
7	21269400	0.58015	0.09902	0.09044	0.07789	0.03593
7	16059059	0.32519	0.23317	0.13324	0.12454	0.0523
7	26902580	0.43691	0.17764	0.09628	0.08256	0.04143
7	22205790	0.63527	0.08685	0.07117	0.04928	0.03359
7	7553079	0.40892	0.3369	0.08394	0.05214	0.02621
7	2277432	0.54204	0.22761	0.12665	0.02003	0.01419
7	6766649	0.53918	0.20782	0.1373	0.07565	0.00724
7	7028794	0.45587	0.21535	0.06016	0.05062	0.04163
7	25914341	0.79361	0.09368	0.05164	0.01424	0.0134
7	26755132	0.88604	0.05471	0.01549	0.01265	0.00668
7	23052350	0.54064	0.22232	0.07387	0.06036	0.03511
7	29551285	0.33196	0.23395	0.12019	0.07678	0.04636
7	4653120	0.46191	0.40876	0.05038	0.01975	0.01246
7	622657	0.49703	0.38096	0.0367	0.01537	0.01325
7	7520322	0.59603	0.19033	0.04722	0.04341	0.02502
7	3686467	0.65799	0.11796	0.09952	0.02616	0.0201
7	2310212	0.71437	0.21943	0.01292	0.00982	0.0086
7	20927841	0.44452	0.13077	0.10898	0.08623	0.07135
7	26976011	0.29919	0.24005	0.1865	0.14138	0.01972
7	20340748	0.80336	0.07746	0.03862	0.01221	0.00906
7	7241803	0.75219	0.09521	0.06253	0.02457	0.02403
7	2654285	0.584	0.2659	0.02772	0.02343	0.01082
7	18581402	0.66892	0.16321	0.09162	0.02164	0.00727
7	28278864	0.80946	0.0826	0.02533	0.02172	0.00727
7	3162194	0.55296	0.11402	0.10375	0.06456	0.02519
7	11649108	0.41781	0.36897	0.06509	0.02692	0.02146
7	344149	0.37743	0.25613	0.14118	0.0632	0.0399
7	20193547	0.5375	0.18087	0.09591	0.06564	0.02381
7	22397017	0.35974	0.27058	0.12146	0.09206	0.04653
7	17236061	0.49051	0.20967	0.11182	0.06858	0.0426
7	29098079	0.73472	0.10906	0.06374	0.02587	0.01716
7	26935640	0.63255	0.12906	0.10765	0.06484	0.03576
7	25641057	0.83209	0.12604	0.00546	0.00516	0.00405
7	28196964	0.50916	0.24672	0.14489	0.03707	0.00986
7	7045224	0.43167	0.2732	0.11567	0.07141	0.02321
7	28098666	0.51289	0.1767	0.1275	0.06339	0.01401
7	29402075	0.71552	0.09997	0.06223	0.0431	0.01717
7	16187502	0.39053	0.19378	0.12564	0.0878	0.06698
7	3817583	0.53282	0.17206	0.09322	0.07185	0.02152
7	28126609	0.4756	0.32589	0.12245	0.0145	0.01313
7	11436145	0.46461	0.15107	0.07305	0.05286	0.04494
7	23870230	0.63366	0.13162	0.07016	0.05964	0.03209
7	16003063	0.29496	0.13766	0.13024	0.12051	0.09679
7	4210809	0.44119	0.19219	0.09389	0.05795	0.02815
7	22858431	0.55944	0.17477	0.11137	0.04261	0.03781
7	8339581	0.39817	0.33582	0.0798	0.03738	0.02091
7	491646	0.5129	0.22192	0.10649	0.04279	0.01881
7	22986773	0.34486	0.16732	0.13125	0.09519	0.06162
7	3522689	0.54991	0.26129	0.0581	0.03662	0.02295
7	25886853	0.72201	0.19482	0.0188	0.01529	0.00725
