CHR	IN	PC1	PC2	PC3	PC4	PC5
9	21615958	0.73056	0.11515	0.02556	0.02322	0.01954
9	20652230	0.73966	0.09796	0.0357	0.01299	0.01093
9	21659660	0.58289	0.23469	0.02478	0.02402	0.01643
9	311309	0.89406	0.02634	0.01987	0.01014	0.00772
9	12380845	0.6852	0.21809	0.02282	0.01709	0.01172
9	22249488	0.4464	0.34889	0.13213	0.02761	0.0199
9	13385745	0.54542	0.15369	0.12435	0.05113	0.01805
9	5881875	0.2915	0.21803	0.12829	0.11454	0.05318
9	5799956	0.37849	0.17067	0.12464	0.10192	0.06793
9	1835029	0.54654	0.22675	0.09288	0.05467	0.01401
9	17776666	0.39235	0.33973	0.17515	0.02795	0.0113
9	5931037	0.2	0.15793	0.12869	0.11353	0.09775
9	17825822	0.60815	0.18517	0.11408	0.04703	0.01528
9	15548447	0.7728	0.12369	0.03704	0.01428	0.0076
9	21463073	0.63894	0.14652	0.11067	0.02251	0.0157
9	18169890	0.67896	0.17484	0.06621	0.01497	0.0109
9	16531491	0.54828	0.17927	0.12384	0.05249	0.02783
9	9437222	0.73954	0.08068	0.05751	0.04034	0.01068
9	3473447	0.51315	0.23066	0.11836	0.04325	0.01931
9	2490409	0.64324	0.19893	0.04297	0.02853	0.01421
9	16384044	0.71634	0.08725	0.06228	0.04077	0.02149
9	5767213	0.68621	0.08739	0.07355	0.04235	0.029
9	5914670	0.21079	0.16795	0.12982	0.09407	0.08838
9	1299805	0.53968	0.33435	0.03827	0.01779	0.01749
9	8568881	0.35405	0.27271	0.11902	0.09161	0.04721
9	5652530	0.39606	0.28272	0.06785	0.04791	0.03489
9	18022451	0.4526	0.35351	0.06366	0.04304	0.0157
9	8159284	0.29166	0.15748	0.09685	0.0799	0.0707
9	14008373	0.55876	0.24439	0.09197	0.01503	0.01327
9	14598199	0.64011	0.21132	0.04256	0.02847	0.00921
9	17956922	0.47576	0.2283	0.13819	0.06854	0.05121
9	4505659	0.33919	0.18741	0.10713	0.09147	0.05651
9	17530941	0.50699	0.21178	0.12208	0.10543	0.01805
9	17465406	0.8088	0.04782	0.0333	0.02687	0.01755
9	7290943	0.25042	0.19467	0.13473	0.10272	0.07973
9	2097216	0.4959	0.22337	0.06896	0.06628	0.03893
9	19316803	0.48964	0.26813	0.07942	0.0782	0.01595
9	20294326	0.33233	0.21128	0.18704	0.10199	0.04802
9	18474471	0.63336	0.10657	0.08025	0.05464	0.0512
9	14155848	0.46522	0.16663	0.10627	0.09372	0.03803
9	17866764	0.67021	0.1535	0.08891	0.03869	0.00484
9	20004939	0.46231	0.28345	0.06668	0.0555	0.04026
9	12124236	0.37445	0.23201	0.13008	0.09998	0.02314
9	9224269	0.35929	0.18334	0.16114	0.06282	0.04193
9	10747982	0.15884	0.15191	0.14832	0.1288	0.09901
