CHR	IN	PC1	PC2	PC3	PC4	PC5
6	18087937	0.43475	0.23973	0.14297	0.04467	0.04044
6	22642690	0.66845	0.21301	0.08973	0.00577	0.00533
6	20152325	0.3337	0.25403	0.20078	0.08631	0.03918
6	13828103	0.46016	0.17246	0.08721	0.07505	0.06984
6	17334281	0.46945	0.18525	0.14232	0.06394	0.02408
6	1343499	0.84954	0.04681	0.03506	0.02017	0.00755
6	12189708	0.54148	0.18822	0.09727	0.04202	0.03505
6	25198607	0.49344	0.25765	0.1629	0.0227	0.02192
6	15564818	0.57843	0.26572	0.09345	0.01056	0.00505
6	18153493	0.83596	0.08572	0.02819	0.0068	0.00459
6	16547864	0.45843	0.25582	0.03978	0.03929	0.03541
6	20447259	0.35648	0.29147	0.09938	0.0941	0.05098
6	3331418	0.61019	0.12376	0.11808	0.02592	0.01683
6	23953413	0.61066	0.16802	0.03427	0.03074	0.02221
6	17793056	0.33259	0.19237	0.14292	0.11916	0.08733
6	3997731	0.79174	0.08962	0.04203	0.01708	0.00713
6	23101478	0.41286	0.21452	0.14379	0.10798	0.01923
6	8394076	0.44955	0.35156	0.07269	0.06321	0.00995
6	15695918	0.27539	0.24074	0.17398	0.07684	0.05604
6	2555953	0.80878	0.08765	0.0294	0.00968	0.00874
6	13336629	0.36932	0.23283	0.14858	0.12647	0.02581
6	18907193	0.68403	0.15782	0.05099	0.03655	0.01959
6	24641594	0.5235	0.22956	0.08941	0.05356	0.0398
6	23560251	0.6251	0.12197	0.08331	0.04405	0.01568
6	6750272	0.46954	0.22752	0.14078	0.03541	0.03011
6	10027019	0.2751	0.16048	0.10539	0.08886	0.0722
6	19333190	0.36382	0.27069	0.11181	0.09781	0.04224
6	21987404	0.57274	0.15889	0.15172	0.03821	0.03401
6	26280016	0.46224	0.27662	0.15492	0.05451	0.01644
6	24084561	0.34579	0.27519	0.1657	0.14546	0.01771
6	655444	0.51811	0.21965	0.15459	0.04908	0.0171
6	17530972	0.62894	0.19351	0.04377	0.02674	0.01864
6	9044061	0.53311	0.22061	0.11274	0.08312	0.01295
6	22058341	0.6204	0.12463	0.0671	0.06366	0.05224
6	24838240	0.65127	0.1716	0.05761	0.03866	0.02415
6	25051152	0.75065	0.09742	0.06381	0.01956	0.013
6	28180579	0.72411	0.11082	0.06088	0.03744	0.01857
6	13434981	0.72867	0.12995	0.0821	0.01449	0.00789
6	17891430	0.37018	0.23135	0.13984	0.07151	0.05397
6	30376040	0.4503	0.26475	0.16054	0.07004	0.01502
6	28878943	0.37595	0.27176	0.15871	0.10859	0.0356
6	1802348	0.4471	0.17348	0.11247	0.06852	0.05598
6	5406830	0.85111	0.06329	0.01015	0.00777	0.00595
6	1474671	0.36479	0.19136	0.12031	0.06883	0.06496
6	29723478	0.51692	0.14376	0.12991	0.05241	0.0427
6	15663223	0.62156	0.14454	0.09183	0.07628	0.0139
6	29126630	0.51347	0.21932	0.16381	0.04683	0.01124
6	1245308	0.21914	0.13829	0.12471	0.10291	0.09029
6	21823613	0.62077	0.15606	0.07495	0.04506	0.03672
6	28901503	0.56013	0.14915	0.14691	0.03688	0.03111
6	16842880	0.33797	0.22194	0.11956	0.0812	0.05822
6	29819011	0.35641	0.3002	0.14344	0.0887	0.04781
6	19316758	0.3775	0.2154	0.13403	0.07249	0.06678
6	10682505	0.35756	0.2073	0.14756	0.09078	0.03867
6	15597706	0.62403	0.14332	0.09314	0.08082	0.01553
6	23462027	0.85747	0.06118	0.04269	0.0046	0.00394
6	3801230	0.71671	0.11631	0.05354	0.03542	0.02837
6	29196431	0.48771	0.19741	0.10335	0.078	0.05752
6	15794321	0.63773	0.17906	0.10156	0.0342	0.007
6	17049452	0.41095	0.2329	0.09316	0.08457	0.071
6	20643992	0.41515	0.22163	0.0781	0.05642	0.04563
6	13140122	0.49299	0.14164	0.08672	0.06406	0.05097
6	20578464	0.52999	0.26841	0.11804	0.0301	0.02091
6	17989794	0.42167	0.24417	0.12849	0.07358	0.0527
6	7700644	0.30916	0.23015	0.15502	0.10671	0.07737
6	30960326	0.62497	0.16558	0.04161	0.04048	0.02219
6	16220329	0.35496	0.28219	0.13096	0.11621	0.02694
6	22118575	0.52569	0.19113	0.14115	0.0641	0.02317
6	30277808	0.66466	0.16892	0.05279	0.046	0.01865
6	29524145	0.36194	0.282	0.14518	0.09134	0.04956
6	15204541	0.46774	0.16776	0.14997	0.11	0.01747
6	8913095	0.48565	0.30954	0.11837	0.02931	0.02077
6	17203409	0.5582	0.13868	0.08015	0.04156	0.02677
6	10059988	0.28685	0.13682	0.09448	0.08244	0.06236
6	2359512	0.58507	0.23514	0.07273	0.03628	0.01605
6	19398875	0.45394	0.16133	0.14969	0.06633	0.05603
