CHR	IN	PC1	PC2	PC3	PC4	PC5
5	10190848	0.77687	0.22313	0.0	0.0	0.0
5	13860865	0.68729	0.17297	0.07332	0.03197	0.01568
5	9830405	0.41609	0.09262	0.0852	0.06247	0.04742
5	6520839	0.49772	0.27649	0.04747	0.03301	0.03048
5	24510472	0.47486	0.19621	0.09134	0.08701	0.06654
5	10518539	0.41434	0.16384	0.06705	0.06613	0.03985
5	12222477	0.50211	0.15386	0.1176	0.08347	0.03878
5	9437198	0.45528	0.23609	0.08026	0.05906	0.02907
5	5471327	0.41912	0.23863	0.1168	0.07394	0.03081
5	18186259	0.44454	0.31858	0.11645	0.04188	0.01627
5	6094869	0.62109	0.20244	0.08925	0.01969	0.01877
5	13074458	0.80802	0.05813	0.02298	0.01933	0.01255
5	7733276	0.40904	0.14044	0.12513	0.11602	0.02133
5	24925530	0.72254	0.19291	0.01403	0.00517	0.00503
5	25165855	0.83693	0.12927	0.00786	0.0039	0.00387
5	16334854	0.37928	0.25516	0.08657	0.04826	0.04671
5	28830931	0.81894	0.08831	0.02451	0.01496	0.01442
5	11108392	0.50053	0.49947	0.0	0.0	0.0
5	13991977	0.49187	0.17753	0.08465	0.06293	0.04444
5	4816938	0.47424	0.2438	0.07297	0.0612	0.01866
5	7012396	0.36863	0.28962	0.08006	0.04431	0.03498
5	27394094	0.77428	0.09438	0.04368	0.01991	0.01144
5	26017839	0.81922	0.12605	0.02088	0.00351	0.00338
5	16547891	0.73126	0.11803	0.06947	0.02654	0.0144
5	7536692	0.65454	0.15707	0.07041	0.04194	0.01782
5	27426871	0.53682	0.25237	0.10723	0.02303	0.02215
5	4980793	0.43918	0.17094	0.08251	0.07914	0.05912
5	9371709	0.63333	0.14696	0.09164	0.02119	0.0191
5	1507390	0.49394	0.15239	0.11264	0.09056	0.04182
5	7274561	0.32521	0.23195	0.10713	0.08	0.06379
5	16744519	0.74883	0.08329	0.06105	0.04731	0.01208
5	26935368	0.72981	0.18811	0.01878	0.01402	0.00595
5	98378	0.77771	0.06485	0.05478	0.02913	0.02126
