CHR	IN	PC1	PC2	PC3	PC4	PC5
2	22020096	0.83639	0.09994	0.02958	0.00347	0.00297
2	10321921	0.34879	0.17169	0.13769	0.12938	0.06886
2	35684354	0.58807	0.29947	0.06862	0.01225	0.00537
2	22506155	0.42843	0.335	0.13758	0.02787	0.00943
2	21463048	0.62693	0.20431	0.10097	0.01901	0.00857
2	2129929	0.41565	0.11669	0.10068	0.09349	0.0806
2	22315019	0.36734	0.28533	0.10173	0.08695	0.07088
2	34947074	0.45283	0.31746	0.05206	0.03901	0.02303
2	14123023	0.73813	0.14335	0.04464	0.02014	0.01262
2	18513936	0.47831	0.19873	0.15617	0.05687	0.03081
2	29186012	0.43941	0.16679	0.10577	0.07032	0.05948
2	24772629	0.23949	0.17812	0.14954	0.09621	0.06731
2	24576022	0.29401	0.09543	0.07958	0.07625	0.04841
2	14385175	0.87291	0.04627	0.02916	0.01532	0.00557
2	24117273	0.22611	0.17062	0.12924	0.12151	0.0622
2	7307290	0.41334	0.16295	0.14553	0.1179	0.06354
2	1671195	0.57751	0.19184	0.15971	0.01037	0.01033
2	4947998	0.447	0.39103	0.05439	0.02714	0.01892
2	5210146	0.33523	0.21997	0.15435	0.11684	0.06708
2	5832739	0.62433	0.20074	0.07907	0.02582	0.01513
2	21659684	0.52812	0.21164	0.08433	0.07843	0.02652
2	18087973	0.41049	0.30775	0.12072	0.06524	0.04537
2	21332006	0.50456	0.18371	0.10681	0.09671	0.01397
2	24248359	0.18776	0.15108	0.11638	0.07847	0.05937
2	4989739	0.77448	0.09359	0.06893	0.02678	0.00835
2	14712875	0.72972	0.09429	0.06247	0.046	0.00905
2	7995438	0.45388	0.39914	0.04729	0.01618	0.0112
2	26050608	0.39051	0.25072	0.0881	0.06618	0.06323
2	1441843	0.36607	0.25421	0.09381	0.05925	0.02957
2	9437236	0.51042	0.25044	0.09491	0.0323	0.01807
2	3964982	0.39449	0.34932	0.08876	0.01869	0.01244
2	15499319	0.83436	0.05641	0.02519	0.02008	0.01651
2	32800825	0.8515	0.03541	0.02514	0.02423	0.01334
2	25788478	0.53667	0.10807	0.08468	0.06531	0.04419
2	10158143	0.30326	0.2267	0.22264	0.13251	0.04513
2	11441504	0.69308	0.09539	0.08104	0.03436	0.01076
2	18317378	0.45808	0.28181	0.09265	0.04288	0.02372
2	24215624	0.16185	0.14245	0.10945	0.08017	0.06473
2	29436599	0.57081	0.14675	0.09042	0.03755	0.02792
2	19005520	0.74391	0.16197	0.02255	0.00751	0.00723
2	23658579	0.27357	0.2257	0.1082	0.08553	0.05443
2	21594196	0.73495	0.10866	0.02234	0.02182	0.01597
2	11042901	0.72428	0.09324	0.028	0.02241	0.01944
2	23756886	0.32167	0.17772	0.11974	0.11163	0.04395
2	1206969	0.59939	0.11133	0.09394	0.04551	0.03441
2	18481241	0.45247	0.26818	0.11639	0.06168	0.02054
2	17039375	0.63549	0.12724	0.10477	0.07101	0.02154
2	567994	0.53363	0.11599	0.08848	0.04845	0.04394
2	11272289	0.70304	0.17832	0.08234	0.00521	0.00397
2	19398755	0.34552	0.22478	0.15257	0.08427	0.05469
2	25886823	0.4013	0.25623	0.12887	0.11326	0.05216
2	18776168	0.5243	0.26925	0.11352	0.03388	0.0115
2	34308201	0.36434	0.32421	0.12641	0.1023	0.02609
2	327787	0.66446	0.12855	0.08538	0.02624	0.02473
2	7492968	0.48574	0.19334	0.0931	0.07225	0.0542
2	1048692	0.3654	0.24215	0.16685	0.08594	0.05485
2	7733366	0.67208	0.12404	0.10957	0.0306	0.00955
2	12484728	0.83843	0.07041	0.03901	0.01079	0.00531
2	19923067	0.63303	0.15307	0.08061	0.0405	0.03702
2	14647420	0.85243	0.03539	0.03098	0.02886	0.01387
2	25034773	0.37019	0.21014	0.12263	0.06048	0.05495
2	2654336	0.33746	0.20073	0.15921	0.1206	0.03898
2	1605761	0.56899	0.15946	0.05891	0.05038	0.04274
2	31522951	0.71862	0.14164	0.06951	0.01205	0.00602
2	23593099	0.3722	0.26225	0.13286	0.07572	0.04817
2	32283270	0.56183	0.35522	0.031	0.01045	0.00808
2	4423823	0.54443	0.23188	0.07556	0.05649	0.04955
2	22970514	0.78557	0.10248	0.02473	0.01251	0.01193
2	17083075	0.47488	0.28661	0.12912	0.06143	0.00911
2	29218158	0.48011	0.1316	0.08541	0.08198	0.05426
2	23855254	0.32887	0.2294	0.12476	0.10306	0.03917
2	28606489	0.65563	0.10203	0.05602	0.03558	0.02888
2	15302808	0.86225	0.06277	0.02333	0.0133	0.00663
2	28497263	0.77374	0.06773	0.05338	0.0255	0.01318
2	11304986	0.39878	0.32827	0.04251	0.0366	0.03591
2	26804382	0.55271	0.15605	0.10956	0.05505	0.03747
2	20414624	0.63462	0.08575	0.0603	0.04486	0.04264
2	14778533	0.53046	0.13069	0.11479	0.06851	0.02193
2	29889905	0.77527	0.0843	0.02138	0.01952	0.01668
2	33226922	0.4344	0.21657	0.10163	0.0724	0.02404
2	28785108	0.37914	0.20149	0.17766	0.10612	0.02951
2	17137842	0.56884	0.14039	0.1068	0.07049	0.02425
2	29032630	0.61405	0.16659	0.0822	0.05709	0.02839
2	753847	0.86972	0.04582	0.02468	0.02152	0.01041
2	31097017	0.62964	0.10507	0.07765	0.064	0.05025
2	32440507	0.89586	0.04306	0.01927	0.00646	0.00445
2	17170620	0.60073	0.16916	0.10984	0.05862	0.01311
2	22427161	0.63122	0.19867	0.07102	0.05335	0.00762
2	22937797	0.85209	0.05019	0.0192	0.01692	0.00711
2	24150217	0.25162	0.19046	0.12274	0.0791	0.0659
2	819403	0.41183	0.23704	0.10661	0.06913	0.0376
2	1966287	0.55734	0.09805	0.07374	0.04851	0.0284
2	22118608	0.35399	0.28586	0.09946	0.05601	0.04593
2	30376146	0.47103	0.25002	0.11267	0.04661	0.03228
2	26542115	0.47278	0.23	0.1771	0.02125	0.01889
2	29557868	0.52301	0.10881	0.07686	0.05626	0.05095
2	35864612	0.65534	0.08715	0.05838	0.03623	0.03048
2	15696092	0.84421	0.06765	0.04419	0.00941	0.0044
2	6783198	0.82923	0.09084	0.03617	0.00757	0.00462
2	10354912	0.54967	0.19216	0.11217	0.07344	0.02887
2	3670242	0.76416	0.11285	0.02022	0.01597	0.01348
2	31817956	0.6118	0.2553	0.03345	0.02322	0.01436
2	24969447	0.44819	0.15023	0.10706	0.09824	0.06041
2	3735784	0.36529	0.26847	0.15097	0.04146	0.03292
2	14024937	0.8068	0.08128	0.04672	0.01026	0.00904
2	19693803	0.3198	0.17469	0.14186	0.06358	0.03927
2	2719980	0.41481	0.18613	0.1354	0.07975	0.05321
2	25723121	0.44502	0.20486	0.142	0.04891	0.03829
2	7700723	0.44721	0.32059	0.10977	0.05401	0.01405
2	6029556	0.83345	0.03385	0.02682	0.02399	0.01902
2	26771703	0.70479	0.08474	0.06998	0.04759	0.03482
2	20283641	0.51498	0.25442	0.10488	0.02529	0.01491
2	11436283	0.61032	0.21045	0.042	0.02539	0.01526
2	4555004	0.44136	0.12218	0.1167	0.10851	0.06846
2	34325421	0.52754	0.14514	0.10442	0.06958	0.04799
