CHR	IN	PC1	PC2	PC3	PC4	PC5
4	32342016	0.4428	0.19664	0.12911	0.09016	0.03599
4	23855107	0.95976	0.01059	0.00302	0.00241	0.00226
4	21463044	0.46753	0.1903	0.11679	0.08109	0.06927
4	19398663	0.8743	0.1257	0.0	0.0	0.0
4	27033610	0.84001	0.06285	0.03389	0.0073	0.00639
4	32047115	0.39962	0.17912	0.13297	0.07201	0.04284
4	25722898	0.70959	0.06813	0.05391	0.03819	0.02931
4	10977300	0.61624	0.19593	0.06443	0.053	0.01431
4	27295765	0.55569	0.30267	0.02236	0.01597	0.01042
4	30212121	0.79718	0.06971	0.05598	0.02828	0.01481
4	4270767	0.28192	0.23326	0.11889	0.09703	0.05331
4	33226780	0.44511	0.23254	0.16018	0.06105	0.02714
4	18776093	0.49527	0.1793	0.11972	0.11527	0.02321
4	10092577	0.63721	0.09815	0.07297	0.03688	0.03031
4	13238306	0.19141	0.14515	0.13299	0.09438	0.09154
4	18645028	0.67585	0.245	0.0254	0.01677	0.00996
4	15892523	0.44695	0.11333	0.09357	0.0919	0.07801
4	8781876	0.59629	0.26983	0.05466	0.02832	0.0157
4	22085686	0.49213	0.171	0.08713	0.05901	0.05482
4	29622327	0.4925	0.24787	0.12721	0.04498	0.01958
4	28743007	0.74492	0.11523	0.05417	0.03763	0.01359
4	5734464	0.71764	0.07952	0.03753	0.03326	0.02454
4	11763779	0.39861	0.26862	0.16851	0.08255	0.03325
4	207542	0.40905	0.17114	0.11634	0.06503	0.05673
4	11818337	0.41994	0.20376	0.15859	0.13973	0.01828
4	22937674	0.74576	0.08345	0.05285	0.03693	0.01838
4	18186316	0.6183	0.19604	0.09455	0.02811	0.01367
4	24576079	0.72866	0.17015	0.03089	0.00951	0.00768
4	11009505	0.51371	0.15178	0.13689	0.0635	0.04302
4	21266517	0.37287	0.18569	0.10933	0.08495	0.04847
4	28606550	0.3355	0.27305	0.11754	0.06762	0.06263
4	17236056	0.63105	0.12794	0.06321	0.04758	0.03348
4	21987417	0.56721	0.2448	0.0818	0.03177	0.01723
4	4751454	0.27684	0.17587	0.14771	0.1054	0.0766
4	11239522	0.5365	0.14292	0.13518	0.05305	0.03333
4	16547939	0.61211	0.34221	0.01341	0.00592	0.00431
4	4423781	0.41136	0.28504	0.06361	0.03179	0.02726
4	13041767	0.56981	0.10747	0.07567	0.07025	0.0465
4	27721833	0.72681	0.14077	0.05097	0.01319	0.01023
4	26542186	0.91509	0.02734	0.01331	0.00787	0.00774
4	32265575	0.29681	0.11594	0.07434	0.06487	0.0587
4	29687826	0.42556	0.27162	0.14827	0.03961	0.02622
4	5210223	0.44423	0.21643	0.10337	0.08568	0.03303
4	33574291	0.58309	0.20716	0.1171	0.02436	0.00907
4	4718707	0.22118	0.21916	0.13322	0.11026	0.06102
4	10879098	0.56812	0.18098	0.07378	0.03776	0.02732
4	32833662	0.63928	0.21861	0.04395	0.0165	0.01353
4	17170559	0.52847	0.25779	0.12963	0.01542	0.01128
