CHR	IN	PC1	PC2	PC3	PC4	PC5
8	19496960	0.25308	0.17053	0.11851	0.08159	0.06256
8	24772611	0.59793	0.15549	0.11073	0.0446	0.03441
8	19677188	0.31703	0.16895	0.1466	0.1005	0.04423
8	19423233	0.31293	0.27079	0.09027	0.0657	0.06013
8	26930727	0.53237	0.15911	0.10193	0.05157	0.03222
8	23412747	0.80416	0.06786	0.02828	0.01669	0.01068
8	25309252	0.66464	0.17451	0.12191	0.01413	0.00701
8	16581611	0.355	0.28257	0.11937	0.05929	0.04153
8	20316180	0.30248	0.15853	0.09816	0.09277	0.07608
8	12763157	0.48305	0.13066	0.09996	0.06912	0.04678
8	13860886	0.34819	0.1809	0.12021	0.07627	0.07006
8	18240422	0.24903	0.2159	0.14001	0.08699	0.07235
8	9125913	0.61062	0.17696	0.06119	0.03206	0.01982
8	10158107	0.29293	0.2292	0.17811	0.05888	0.05228
8	27099164	0.1919	0.16042	0.12886	0.08443	0.05867
8	4243485	0.19712	0.19095	0.16275	0.11534	0.06877
8	11108384	0.30279	0.24424	0.17974	0.13072	0.02468
8	26733232	0.32649	0.16318	0.11961	0.09641	0.06953
8	26935332	0.41702	0.17517	0.1177	0.06081	0.0397
8	23937061	0.68853	0.06619	0.05669	0.05377	0.01359
8	26525734	0.53728	0.35139	0.02821	0.0278	0.01435
8	25179883	0.43435	0.20798	0.17291	0.04904	0.03776
8	20971561	0.49643	0.1381	0.10291	0.07002	0.05301
8	22030169	0.71672	0.09924	0.04564	0.02853	0.0271
8	7569452	0.41396	0.16404	0.1074	0.09316	0.07284
8	24936688	0.71302	0.12168	0.06044	0.02775	0.02362
8	10485807	0.36497	0.13706	0.10625	0.09154	0.07945
8	24641584	0.84474	0.0642	0.03443	0.01405	0.01069
8	16564274	0.35518	0.21304	0.12362	0.10737	0.06887
8	14336051	0.31614	0.17017	0.13164	0.10814	0.07409
8	17088564	0.31619	0.21139	0.10005	0.08844	0.0777
8	3457077	0.39817	0.17202	0.15127	0.08467	0.06364
8	22749696	0.75571	0.17274	0.01693	0.00698	0.0069
8	19017619	0.37889	0.19554	0.1549	0.06351	0.05564
8	5193785	0.28393	0.17839	0.15949	0.09303	0.07307
8	5455932	0.46647	0.14048	0.1187	0.08633	0.05996
8	27355041	0.59132	0.13832	0.07455	0.06338	0.02882
8	18268223	0.27355	0.17954	0.149	0.07208	0.0581
8	17629249	0.34406	0.23475	0.13612	0.08087	0.05073
8	21807171	0.57488	0.22948	0.06618	0.03727	0.02239
8	13959239	0.42039	0.14638	0.08239	0.08076	0.06076
8	10764360	0.30633	0.17135	0.11921	0.10863	0.07231
8	26918985	0.42135	0.25271	0.152	0.04737	0.02311
8	14102001	0.60575	0.1685	0.04968	0.03252	0.02672
8	2113615	0.38488	0.23998	0.12913	0.07244	0.06369
8	24531694	0.66001	0.10611	0.09904	0.03116	0.01847
8	2310225	0.7938	0.09314	0.02923	0.02212	0.01615
8	10584146	0.43417	0.2127	0.10441	0.07798	0.05339
8	671827	0.27369	0.16305	0.14166	0.08945	0.06861
8	8585302	0.42091	0.27841	0.07095	0.05455	0.03365
8	17530968	0.2452	0.18652	0.13626	0.13037	0.09508
8	6160473	0.75686	0.0847	0.0392	0.02121	0.01547
