G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	
0.025881319210799555	0.01619816968011127	0.010576181970415849	0.0029303077275067216	0.032207282587890025	0.004844144259496373	0.017879124087591243	0.014509440510534138	0.010927690702527243	0.01425224224878596	
0.02793104866735893	0.017017705146036177	0.009897837008093784	0.00333918149059086	0.033015989918968966	0.00446497083511168	0.01786833611819541	0.017923194335169167	0.009985883375840488	0.01155000280164363	
0.027413474974039488	0.016315620027816426	0.011977130895897296	0.00473121489446891	0.031224409494034346	0.003945184236733533	0.017019650866238693	0.022664537984089524	0.009127679109668446	0.010495288569293978	
0.03097349103496019	0.020524882892906837	0.009169002232765833	0.004055611737116055	0.0378434364831239	0.007634576753449994	0.01995988655351331	0.056710600576973434	0.015638822165546025	0.011956819200597685	
0.03056434544825197	0.02457455910987481	0.011096746441529446	0.006254241834925357	0.037995313596631164	0.006539506330914781	0.0252249230498637	0.03162963808025179	0.012547632738233245	0.06141585076578253	
0.029532146071304898	0.024686601390820555	0.01711923318448228	0.0027388869187210422	0.03692953167868309	0.006306586996727842	0.01795269193562572	0.019099065477751562	0.009341177834453977	0.017722108703772887	
0.02635312841813769	0.014895603894297631	0.010547914457158816	0.0022040702396613856	0.035354791679959176	0.0047854901123915205	0.01483446486676634	0.015501390855844063	0.007874582657083238	0.011465229734777736	
0.0260808631360332	0.013820931293463151	0.00959295841473626	0.0034828078705027737	0.029779363236138605	0.010003710342865275	0.02361840119602497	0.01884256490952006	0.008386641548805935	0.012480412775494958	
0.02731854980962269	0.015367148261474261	0.011734983254256209	0.006375523079563003	0.03492627958910232	0.007119610186370749	0.019462144050655175	0.016511999300638167	0.010184568745652675	0.011579451811729546	
0.02546058096227065	0.013404616411682889	0.011776370360033489	0.0036998775953783693	0.033709650354112206	0.00423291933418694	0.0227885427842758	0.015860244776641316	0.010649400649200093	0.010764848711243934	
0.02618862360678436	0.01749342086230876	0.010312079960926592	0.004151710804781788	0.036822718688189926	0.006540623132735808	0.016707795268665903	0.015362851647871325	0.014057442615348944	0.009367584983190139	
0.028425336240913784	0.015389728511821979	0.01845213996650852	0.0031754155465309156	0.03385959803483699	0.004985023474178406	0.015582170433559068	0.017289476352828057	0.008555062601437517	0.01251223851326111	
